"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
11535,"city_21",0.624,"","Has relevent experience","Full time course","Graduate","STEM","3","10000+","Pvt Ltd","2",38,0
24438,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd",">4",126,0
26351,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","5000-9999","Public Sector",">4",28,1
21794,"city_27",0.848,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Pvt Ltd","1",39,0
16500,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","100-500","Pvt Ltd","1",84,1
7744,"city_45",0.89,"Male","Has relevent experience","Part time course","Graduate","STEM","7","50-99","Early Stage Startup","1",31,0
3763,"city_105",0.794,"Female","Has relevent experience","Full time course","Graduate","STEM","10","50-99","",">4",36,0
6351,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Phd","STEM","11","10000+","Pvt Ltd","1",23,0
18547,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","Other","<1","10/49","Pvt Ltd","1",5,1
30094,"city_48",0.493,"Male","Has relevent experience","no_enrollment","High School","","5","","","never",18,0
27149,"city_71",0.884,"Male","Has relevent experience","no_enrollment","Masters","STEM","17","50-99","Funded Startup","1",6,0
13408,"city_21",0.624,"","Has relevent experience","Full time course","Graduate","STEM","6","10/49","Pvt Ltd","1",26,0
27328,"city_103",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM","2","10000+","Pvt Ltd","1",55,0
6304,"city_103",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM","19","1000-4999","Public Sector",">4",142,0
1515,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Funded Startup","",87,0
20808,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","50-99","Pvt Ltd","2",246,0
14578,"city_64",0.666,"Male","Has relevent experience","Part time course","Graduate","STEM","9","10/49","Pvt Ltd","1",19,1
28468,"city_28",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",88,0
28082,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","10","10000+","Pvt Ltd","3",129,0
27691,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","1",312,0
27015,"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","5000-9999","Pvt Ltd","1",107,0
26846,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","500-999","Funded Startup","1",25,1
9016,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","4","100-500","Early Stage Startup","never",85,0
3461,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","100-500","Pvt Ltd",">4",45,0
1984,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10/49","Pvt Ltd","1",11,1
11173,"city_136",0.897,"Male","No relevent experience","Full time course","Graduate","STEM","5","","","never",13,0
8654,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","7","10/49","Funded Startup","1",135,0
24629,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","16","","Public Sector",">4",31,0
8549,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","","","1",56,1
14800,"city_16",0.91,"Female","Has relevent experience","no_enrollment","High School","","9","10/49","Pvt Ltd","2",12,0
30699,"city_100",0.887,"Male","Has relevent experience","no_enrollment","High School","","5","50-99","Pvt Ltd","1",88,0
18145,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","Pvt Ltd","3",28,0
2707,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10/49","Pvt Ltd","2",50,0
31407,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd","1",141,0
18245,"city_19",0.682,"Male","Has relevent experience","no_enrollment","Graduate","STEM","1","10000+","Pvt Ltd","1",114,0
8414,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","11","10000+","Pvt Ltd","2",24,0
20711,"city_136",0.897,"","No relevent experience","Full time course","Masters","STEM","4","","","",48,1
11107,"city_90",0.698,"Male","Has relevent experience","Part time course","Graduate","STEM","7","100-500","Pvt Ltd","1",55,0
6202,"city_103",0.92,"","No relevent experience","","","","4","","","",138,0
13226,"city_155",0.556,"Male","Has relevent experience","Part time course","Graduate","STEM","7","1000-4999","Pvt Ltd","1",102,0
24667,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd","1",29,0
11568,"city_65",0.802,"","Has relevent experience","no_enrollment","Graduate","Business Degree","11","","","1",73,0
8930,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","10000+","Pvt Ltd",">4",30,0
3365,"city_16",0.91,"","Has relevent experience","no_enrollment","Graduate","Humanities",">20","1000-4999","Pvt Ltd",">4",23,0
18257,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","500-999","NGO",">4",20,0
26194,"city_127",0.745,"Other","Has relevent experience","","Phd","STEM",">20","","","never",256,0
10972,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","18","10000+","Pvt Ltd","3",57,0
29958,"city_165",0.903,"Male","Has relevent experience","","Graduate","STEM",">20","1000-4999","Pvt Ltd","2",86,0
9943,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","10000+","Pvt Ltd",">4",28,0
22515,"city_103",0.92,"Male","No relevent experience","Full time course","High School","","4","","","never",44,0
11548,"city_103",0.92,"","Has relevent experience","Full time course","High School","","6","<10","Pvt Ltd","",81,0
9815,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","19","100-500","Funded Startup","4",14,1
2121,"city_36",0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM","12","10000+","Pvt Ltd","1",42,0
16247,"city_158",0.766,"","Has relevent experience","Part time course","High School","","4","","","2",7,1
6588,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","10/49","Pvt Ltd",">4",18,0
3106,"city_114",0.926,"Male","No relevent experience","Full time course","High School","","9","100-500","Pvt Ltd","1",58,0
11149,"city_103",0.92,"Female","No relevent experience","no_enrollment","Masters","STEM","9","","","1",106,1
25888,"city_21",0.624,"Male","No relevent experience","Full time course","High School","","6","","","never",44,1
10480,"city_70",0.698,"Female","No relevent experience","no_enrollment","Graduate","Humanities","<1","","","1",52,1
16555,"city_19",0.682,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","","",">4",105,0
12650,"city_114",0.926,"Male","No relevent experience","Part time course","High School","","3","100-500","Pvt Ltd","3",105,1
1047,"city_40",0.776,"Male","Has relevent experience","no_enrollment","High School","","19","","","1",72,0
25936,"city_16",0.91,"Male","No relevent experience","no_enrollment","Primary School","","2","","","never",14,0
