"city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target","city","enrollee_id","imputed","n.experience","f.city_development_index"
0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","9","Unknown","NGO","1",49,"1","city_103",20885,TRUE,9,"0.920"
0.624,"Female","No relevent experience","no_enrollment","Graduate","STEM","2","<10","NGO","1",26,"0","city_21",24890,FALSE,2,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","Unknown","Other","1",24,"1","city_103",28287,FALSE,25,"0.920"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","<10","Other","1",129,"0","city_21",17754,FALSE,8,"[0.448,0.691)"
0.624,"Other","No relevent experience","Full time course","Graduate","STEM","2","Unknown","Other","1",28,"1","city_21",14135,TRUE,2,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","50-99","Pvt Ltd","1",10,"0","city_103",16793,FALSE,8,"0.920"
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd",">4",24,"1","city_16",19482,FALSE,25,"[0.878,0.920)"
0.915,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","10000+","Public Sector","2",68,"1","city_99",15334,FALSE,9,"[0.878,0.920)"
0.92,"Male","No relevent experience","Full time course","Masters","STEM","4","Unknown","Other","2",29,"1","city_160",14230,FALSE,4,"0.920"
0.903,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Funded Startup",">4",12,"0","city_165",5926,FALSE,25,"[0.878,0.920)"
0.895,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","100-500","Pvt Ltd","1",83,"0","city_10",24931,FALSE,14,"[0.878,0.920)"
0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","1000-4999","Pvt Ltd","1",104,"0","city_114",23109,FALSE,6,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","1000-4999","Pvt Ltd","2",53,"0","city_103",8718,FALSE,15,"0.920"
0.926,"Male","No relevent experience","no_enrollment","Phd","STEM",">20","Unknown","Other",">4",31,"1","city_114",1184,FALSE,25,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","3",192,"0","city_103",3641,FALSE,25,"0.920"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","1","Unknown","Other","1",14,"0","city_21",12389,TRUE,1,"[0.448,0.691)"
0.866,"Other","No relevent experience","Full time course","High School","No Major","<1","Unknown","Other","never",64,"0","city_57",24744,FALSE,0,"[0.691,0.878)"
0.579,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","11","Unknown","Other","4",52,"0","city_78",5887,FALSE,11,"[0.448,0.691)"
0.926,"Other","No relevent experience","Full time course","High School","No Major","5","<10","Public Sector","never",109,"0","city_114",7125,FALSE,5,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","50-99","Pvt Ltd","1",4,"0","city_103",14228,FALSE,4,"0.920"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","19","Unknown","Other","1",45,"1","city_21",3417,FALSE,19,"[0.448,0.691)"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","1",330,"0","city_21",26084,FALSE,10,"[0.448,0.691)"
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","5000-9999","Pvt Ltd",">4",24,"0","city_16",20763,FALSE,8,"[0.878,0.920)"
0.689,"Other","Has relevent experience","Full time course","Graduate","STEM","6","5000-9999","Pvt Ltd","1",58,"0","city_149",32988,FALSE,6,"[0.448,0.691)"
0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","<10","Pvt Ltd","4",141,"0","city_65",11991,FALSE,9,"[0.691,0.878)"
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd","1",33,"0","city_114",29014,FALSE,25,"[0.921,0.949]"
0.624,"Other","Has relevent experience","no_enrollment","Masters","STEM","12","100-500","Pvt Ltd",">4",14,"0","city_21",10445,FALSE,12,"[0.448,0.691)"
0.923,"Male","No relevent experience","no_enrollment","Masters","STEM","19","500-999","Pvt Ltd",">4",31,"0","city_83",6973,FALSE,19,"[0.921,0.949]"
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM","9","Unknown","Other","2",28,"0","city_21",2860,FALSE,9,"[0.448,0.691)"
0.843,"Male","Has relevent experience","Part time course","High School","No Major","5","500-999","Public Sector","3",65,"0","city_159",21045,FALSE,5,"[0.691,0.878)"
0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","5","10/49","Other","1",32,"0","city_21",24898,FALSE,5,"[0.448,0.691)"
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","15","5000-9999","NGO",">4",4,"1","city_103",3676,FALSE,15,"0.920"
0.926,"Female","Has relevent experience","no_enrollment","Graduate","STEM","17","Unknown","Other",">4",131,"0","city_114",514,TRUE,17,"[0.921,0.949]"
0.926,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","50-99","Pvt Ltd","3",28,"0","city_114",20705,FALSE,25,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","10","50-99","Pvt Ltd","1",90,"0","city_103",29878,FALSE,10,"0.920"
0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities","15","100-500","Pvt Ltd","3",4,"0","city_103",32221,FALSE,15,"0.920"
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","50-99","Pvt Ltd","1",9,"0","city_114",19609,FALSE,10,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","NGO","1",70,"0","city_103",32032,FALSE,25,"0.920"
0.897,"Other","No relevent experience","Full time course","High School","No Major","4","Unknown","Other","never",182,"0","city_136",24727,FALSE,4,"[0.878,0.920)"
0.698,"Male","No relevent experience","Full time course","Graduate","Business Degree","1","Unknown","Other","never",74,"0","city_152",27119,FALSE,1,"[0.691,0.878)"
0.836,"Other","Has relevent experience","no_enrollment","Graduate","STEM","8","10000+","Pvt Ltd","1",130,"0","city_138",15606,FALSE,8,"[0.691,0.878)"
0.802,"Male","No relevent experience","Full time course","Graduate","STEM","6","Unknown","Other","1",40,"0","city_65",22702,FALSE,6,"[0.691,0.878)"
0.884,"Male","Has relevent experience","no_enrollment","High School","No Major","10","Unknown","Other","1",96,"0","city_71",11037,FALSE,10,"[0.878,0.920)"
0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","Unknown","Other","4",290,"0","city_64",32776,FALSE,20,"[0.448,0.691)"
0.682,"Other","Has relevent experience","no_enrollment","Graduate","STEM","3","50-99","Other","1",332,"1","city_19",8866,FALSE,3,"[0.448,0.691)"
0.794,"Female","Has relevent experience","Full time course","Graduate","STEM","9","100-500","Pvt Ltd",">4",206,"0","city_105",22954,FALSE,9,"[0.691,0.878)"
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","Unknown","Pvt Ltd","1",36,"0","city_16",70,FALSE,9,"[0.878,0.920)"
0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","6","Unknown","Other","1",24,"1","city_21",11470,FALSE,6,"[0.448,0.691)"
0.83,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","10/49","Pvt Ltd",">4",19,"0","city_77",11474,FALSE,14,"[0.691,0.878)"
